Date,Open,High,Low,Close,Volume,Adj Close
1/12/2017,167.77,168.01,165.56,167.95,2927500,167.95
1/11/2017,166.05,167.76,165.6,167.75,3585800,167.75
1/10/2017,167.98,168.09,165.34,165.52,4097100,165.52
1/9/2017,169.47,169.8,167.62,167.65,3184700,167.65
1/6/2017,168.69,169.92,167.52,169.53,2814900,169.53
1/5/2017,169.25,169.39,167.26,168.7,2681000,168.7
1/4/2017,167.77,169.87,167.36,169.26,3357000,169.26
1/3/2017,167,167.87,166.01,167.19,2927900,167.19
12/30/2016,166.44,166.7,165.5,165.99,2951300,165.99
12/29/2016,166.02,166.99,166,166.6,1594000,166.6
12/28/2016,167.29,167.74,166,166.19,1721800,166.19
12/27/2016,166.98,167.98,166.85,167.14,1396000,167.14
12/23/2016,167,167.49,166.45,166.71,1699200,166.71
12/22/2016,167.36,168.23,166.58,167.06,2778900,167.06
12/21/2016,166.25,167.94,165.25,167.33,3568400,167.33
12/20/2016,167.49,168.25,166.45,167.6,2170400,167.6
12/19/2016,166.83,167.26,166,166.68,2855700,166.68
12/16/2016,168.97,169.11,166.06,166.73,6679200,166.73
12/15/2016,168.01,169.85,167.78,168.02,3363200,168.02
12/14/2016,168.37,169.89,167.45,168.51,3957600,168.51
12/13/2016,165.68,169.95,165.68,168.29,5838700,168.29
12/12/2016,166.72,166.79,165.07,165.5,3389200,165.5
12/9/2016,165.18,166.72,164.6,166.52,3143900,166.52
12/8/2016,164.87,166,164.22,165.36,3259700,165.36
12/7/2016,160.6,165.18,160.39,164.79,4377300,164.79
12/6/2016,160.13,160.79,158.93,160.35,2814800,160.35
12/5/2016,160.85,161.15,159.59,159.84,3426500,159.84
12/2/2016,159,160.29,158.41,160.02,2737400,160.02
12/1/2016,161.95,162.2,158.3,159.82,4621300,159.82
11/30/2016,163.35,163.8,162.21,162.22,4319400,162.22
11/29/2016,164,164.41,163.03,163.53,3130200,163.53
11/28/2016,163.2,164.66,162.7,164.52,4435900,164.52
11/25/2016,161.83,163.19,161.83,163.14,1605300,163.14
11/23/2016,161.94,162.38,161.36,161.98,2252700,161.98
